pawndiff knightdiff bishopdiff rookdiff queendiff result white black whiteelo blackelo
3 -1 1 1 -1 0-1 peterni VictorVictor 1458 1420
-3 0 0 -1 0 0-1 strega peterni 1154 1329
0 0 1 1 -1 0-1 peterni Direnn 1376 1443
0 1 -2 1 0 1-0 shoresh2019 peterni 1462 1464
0 1 0 0 0 1-0 maral_deaf1366 peterni 1369 1471
-1 2 -1 0 0 1-0 arman1384 peterni 1540 1475
-3 0 1 0 0 1/2-1/2 peterni Artajerjes 1373 1521
1 0 1 1 -1 0-1 Mzsa2337 peterni 1359 1471
0 0 0 0 0 1-0 peterni Allenbaba 1282 1458
2 -1 -1 1 0 1-0 PIZZEGO peterni 1492 1476
0 0 0 0 -1 0-1 peterni javier200 1484 1394
0 0 1 0 0 1-0 peterni Labrador33 1477 1522
0 0 1 0 0 1-0 Akku1992 peterni 1284 1485
1 -1 -1 0 0 0-1 Unbe peterni 1416 1366
-4 0 2 0 0 1-0 peterni javivita1 1480 1422
-2 0 0 -2 0 0-1 Sorokin2008 peterni 1391 1475
2 0 0 -1 -1 0-1 ramin-seyedin peterni 1431 1470
4 0 0 2 1 1-0 peterni Tonono2 1464 1442
-1 0 0 0 0 0-1 sanchi123 peterni 1457 1458
-2 0 0 1 -1 0-1 jaguhtaikkucing peterni 1383 1453
2 -1 0 0 0 0-1 peterni Graviloquence 1372 1350
-1 1 -1 0 0 1-0 Jaimex3me peterni 1369 1378
1 0 0 0 1 1-0 peterni backhand56 1373 1343
-4 0 0 -1 0 0-1 docchessbrum peterni 1506 1446
-1 1 -1 0 0 1-0 peterni Shulekov 1368 1302
0 0 0 1 1 1-0 peterni vladshchehliuk 1361 1438
1 1 -1 0 0 1-0 muralex77 peterni 1522 1450
0 1 0 0 0 1-0 NightGriffin peterni 1947 1451
0 0 0 0 0 0-1 maxiargentino peterni 1409 1445
-2 0 0 -1 0 0-1 peterni sportyflo 1451 1472
-2 -1 -1 0 0 0-1 Dukesam peterni 1304 1447
-2 0 1 -1 0 1-0 peterni TheWolverine_01 1353 1482
-2 1 -1 0 0 1-0 pablo1988z peterni 1536 1451
1 0 -1 0 0 1-0 SgtGuiL peterni 1419 1458
1 1 0 0 0 1-0 peterni SgtGuiL 1452 1424
2 1 1 0 -1 0-1 peterni DMassimo 1458 1409
2 0 0 0 0 1-0 Edegamiese peterni 1508 1463
1 -1 -1 1 -1 0-1 peterni sogirba 1469 1480
-1 -1 -1 0 0 0-1 Rocketstocktrader peterni 1544 1344
0 0 0 0 1 1-0 peterni sana1111 1465 1305
-3 1 1 0 -1 0-1 Maksim_tr peterni 1428 1460
3 0 -1 1 -1 0-1 SokMother peterni 1311 1456
-2 0 -1 0 0 0-1 Darvilo peterni 1473 1449
1 0 0 0 1 1-0 b-m2 peterni 1356 1349
0 0 0 0 0 0-1 peterni astrelle 1456 1377
2 0 0 -1 0 0-1 peterni arcnaka 1461 1504
0 -2 1 1 0 1-0 peterni ParasiteEve0 1455 1472
0 0 0 0 0 1-0 Aurea61803 peterni 1516 1352
-2 -1 2 -1 0 0-1 peterni harperlewis 1461 1436
-1 1 0 0 0 0-1 peterni dselva 1467 1465
0 0 0 0 -1 0-1 mileswiles peterni 1439 1461
-2 2 0 -2 0 0-1 emerald_ua peterni 1319 1241
2 -1 -1 0 -1 0-1 kizimirgrinko peterni 1525 1454
-1 1 0 0 1 1-0 peterni CharlieSACH 1447 1493
1 0 0 0 0 1-0 Wolfgangpaul peterni 1464 1356
-1 0 -1 0 0 0-1 CISCO69 peterni 1414 1441
-1 1 2 0 1 1-0 peterni CISCO69 1435 1419
1 0 0 1 0 1-0 peterni metaltech7 1430 1395
0 0 0 0 1 1-0 itzhak_66 peterni 1402 1436
-2 0 0 0 0 0-1 jpc6000 peterni 1393 1350
1 0 -1 0 0 1-0 dahupetitjoueur peterni 1140 1359
-1 0 1 0 0 1-0 DINGO_M peterni 1432 1442
-2 -1 1 0 0 0-1 peterni Luzer0 1364 1357
0 1 0 0 0 1-0 peterni Guiz1203 1435 1474
0 -1 0 0 0 0-1 LeraV peterni 1431 1429
-3 1 0 -1 0 0-1 hugolin peterni 1483 1356
